# Google Correlate
# Copyright  Google Inc.
#
# Exported data may be used for any purpose, subject to the Google Correlate Terms of Service (http://correlate.googlelabs.com/tos).
#
# If you choose to use the data, please attribute it to Google as follows: "Data Source: Google Correlate (http://correlate.googlelabs.com)".
#
# Each week begins on the Sunday (Pacific Time) indicated for the row
#
# Source: https://www.google.com/trends/correlate/csv?e=data+analytics&t=all

State,data analytics,enterprise data,unstructured data,big data analytics,data integration,portfolio management,proof of concept,use cases,part time phd,identity and access management,11g,application security,data architecture,senior director,consulting company,analyst,architecture diagram,for oracle,expdp,condolence email,it infrastructure,oracle database,deloitte consulting,j2ee,with oracle,consulting companies,oracle data guard,part time mba programs,enterprise edition,what is oracle,salary negotiation,impdp,data analyst,using oracle,business process,alter table modify,oracle rac,oracle server,cloud computing,system integration,research analyst,oracle function,metadata management,materialized views,oracle 11g,sample project,risk and compliance,consulting resume,it industry,oracle schema,thought leadership,part time masters,rman backup,oracle data,reference architecture,download oracle,clob,management consulting,cio magazine,oracle 9i,application development,database oracle,9i,redo log,global business services,control file,oracle xml,approval process,business process management,string function,tablespace,bullets in excel,data management,alter table modify column,functional requirement,management consulting firms,quick turnaround,xmltype,oracle installation,schema oracle,axis2,enterprise service bus,winrunner,connect to oracle,job email,oracle certification,work life balance,oracle user,it companies,data capture,etl tools,acheampong,tablespace oracle,acceptance testing,soa architecture,10g,oracle performance,analyst position,mckenzie consulting,engagement manager
Georgia,0.076,0.234,0.052,0.279,0.270,-0.115,-0.086,0.400,0.085,0.294,0.494,0.300,0.189,0.281,0.656,0.372,0.407,0.554,0.742,0.233,0.612,0.332,0.486,0.461,0.403,0.671,0.355,0.003,0.192,0.737,0.149,0.723,0.465,0.374,0.666,0.355,0.694,0.162,0.109,0.246,-0.002,0.146,0.122,0.245,0.494,0.964,0.607,0.839,0.432,0.456,0.294,-0.070,0.569,0.200,0.161,0.626,0.174,0.617,0.401,0.584,0.387,0.498,0.543,0.648,0.846,0.392,0.127,-0.038,0.499,-0.120,0.511,-0.128,0.182,0.422,0.233,0.474,0.114,-0.041,0.575,0.517,0.445,0.362,0.547,0.436,0.210,0.681,0.183,0.524,0.836,0.163,0.462,0.436,0.607,0.035,0.552,0.391,0.314,0.333,0.767,0.571
Hawaii,-1.020,-1.013,-0.776,-0.939,-0.980,-0.721,-0.677,-1.099,-0.572,-1.019,-1.149,-0.744,-0.830,-0.619,-0.911,-0.845,-1.113,-1.301,-1.090,-1.233,-0.762,-0.940,-0.945,-1.184,-1.332,-1.144,-0.776,-0.981,-1.047,-0.749,-0.523,-1.067,-1.122,-1.417,-0.908,-1.208,-1.180,-0.935,-0.527,-0.768,-0.863,-1.099,-0.557,-0.875,-1.070,-0.446,-0.655,-1.103,-0.858,-0.907,-0.867,-0.870,-0.932,-1.030,-0.930,-0.920,-1.275,-0.702,-0.791,-0.856,-1.343,-0.872,-0.982,-0.850,-0.513,-1.187,-1.071,-0.348,-1.036,-0.572,-1.033,-0.446,-1.212,-1.102,-0.471,-0.746,-0.291,-1.551,-0.526,-0.953,-0.741,-0.688,-1.099,-1.184,-0.425,-0.750,-0.783,-0.733,-1.223,-1.497,-1.248,-1.042,-0.758,-0.888,-1.014,-0.822,-1.029,-0.421,-0.785,-0.905
Idaho,-0.769,-0.429,-0.562,-0.697,-0.826,-0.830,-0.636,-0.612,-1.098,-0.374,-0.818,-0.642,-0.383,-0.790,-0.940,-1.004,-0.398,-0.739,-0.981,-1.233,-0.624,-0.468,-1.014,-0.562,-0.868,-0.735,-0.237,-0.981,-0.481,-0.518,-0.871,-1.036,-0.896,-0.843,-0.373,-0.542,-0.466,-0.577,-0.836,-0.237,-0.788,-0.726,-1.433,-0.587,-0.733,-1.113,-0.584,-1.103,-0.568,-0.645,-0.770,-0.870,-0.531,-0.685,-0.485,-0.631,-0.624,-0.851,-0.323,-0.643,-0.482,-0.521,-0.525,-0.713,-1.405,-0.630,-0.468,-0.475,-0.296,-0.358,-0.619,-0.310,-0.493,-0.488,-0.487,-0.877,-0.821,-0.210,-0.445,-0.646,-0.750,-0.479,-0.796,-0.781,-0.957,-0.757,-0.803,-0.729,-0.798,-0.984,-0.762,-1.042,-0.328,-0.495,-0.786,-0.486,-0.231,-0.917,-0.670,-0.649
Illinois,1.065,0.890,0.663,0.830,0.862,0.943,0.711,0.707,0.728,0.476,0.396,0.391,0.791,0.836,1.218,1.000,0.995,0.725,0.501,1.064,0.769,0.484,0.848,1.079,0.620,1.486,0.500,1.835,0.777,0.722,1.045,0.331,0.945,0.725,0.746,0.811,0.374,0.539,0.343,0.760,0.820,0.504,0.775,0.400,0.404,0.736,0.921,1.551,1.058,0.466,1.609,0.664,0.639,0.411,0.717,0.617,0.524,1.381,1.121,0.798,0.908,0.594,0.797,0.594,0.939,0.777,0.409,0.649,0.843,0.837,0.632,0.785,0.469,0.842,0.602,1.462,0.878,-0.018,0.627,0.645,0.425,0.483,1.003,0.749,0.654,0.744,1.309,0.447,1.015,0.555,1.196,0.121,0.549,0.779,0.779,0.462,0.687,0.772,1.427,1.772
Indiana,-0.031,-0.073,-0.037,-0.096,0.200,-0.209,-0.008,-0.384,-0.016,0.266,-0.218,-0.317,-0.342,-0.137,0.112,0.017,-0.262,-0.155,-0.451,0.026,0.207,-0.195,0.635,-0.549,-0.153,0.379,-0.449,0.311,0.344,-0.088,-0.050,-0.468,0.441,0.048,-0.113,-0.250,-0.530,-0.112,0.094,0.117,-0.050,-0.027,0.202,-0.102,-0.366,-0.290,-0.221,0.498,0.009,-0.181,-0.200,-0.150,-0.320,-0.084,-0.299,-0.314,-0.343,0.116,-0.296,-0.107,0.000,-0.064,-0.122,-0.286,0.050,-0.184,0.037,0.447,-0.226,0.296,-0.341,-0.163,0.186,-0.193,-0.013,0.220,-0.022,-0.164,-0.129,-0.007,-0.339,-0.149,-0.620,-0.096,-0.070,-0.070,0.325,-0.128,-0.074,-0.165,-0.145,-0.357,-0.142,-0.289,-0.426,-0.263,-0.161,-0.204,0.146,0.157
Iowa,0.176,-0.542,-0.431,-0.276,-0.345,-0.347,-0.541,-0.205,-0.450,-0.012,-0.312,-0.290,-0.168,-0.621,-0.431,-0.312,-0.156,-0.360,-0.224,-0.240,-0.620,-0.371,-0.654,0.183,-0.236,-0.585,-0.473,-0.388,-0.230,-0.515,-0.194,-0.294,-0.389,-0.351,-0.271,-0.117,-0.350,-0.557,-0.706,-0.290,-0.379,-0.238,0.284,-0.026,-0.404,-0.229,-0.235,-0.505,-0.383,-0.307,-0.435,-0.295,-0.458,-0.409,-0.277,-0.501,-0.229,-0.762,-0.692,-0.517,-0.079,-0.348,-0.355,-0.392,-0.362,-0.558,-0.091,-0.429,-0.259,0.419,-0.461,-0.217,-0.570,-0.026,0.140,-0.736,-0.253,-0.023,-0.395,-0.402,-0.200,0.018,-0.147,-0.355,-0.482,-0.421,-0.020,-0.572,-0.166,-0.221,-0.014,-0.229,-0.389,-0.037,-0.026,-0.509,-0.386,-0.371,-0.670,-0.661
Kansas,-0.665,-0.656,-0.904,-0.555,-0.630,-0.121,-0.531,-0.676,-0.146,-0.674,-0.386,-0.628,-0.512,-0.691,-0.750,-0.707,-0.490,-0.486,-0.316,-0.495,-0.513,-0.453,-0.479,-0.400,-0.423,-0.675,-0.587,-0.519,-0.492,-0.537,-0.694,-0.259,-0.797,-0.491,-0.678,-0.366,-0.538,-0.477,-0.667,-0.269,-0.591,-0.548,-0.449,-0.478,-0.310,-0.657,-0.177,-0.478,0.009,-0.407,-0.582,-0.454,-0.284,-0.547,-0.594,-0.400,-0.455,-0.791,-0.379,-0.508,-0.256,-0.182,-0.477,-0.630,-0.706,-0.382,-0.641,-0.941,-0.598,-0.517,-0.451,-0.593,-0.885,-0.277,-0.194,-0.601,-0.514,-0.751,-0.421,-0.174,-0.439,-0.520,-0.232,-0.492,-0.554,-0.267,-0.797,-0.522,0.350,-0.033,-0.340,0.052,-0.248,-0.449,-0.317,-0.583,-0.377,-0.560,-0.622,-0.530
Kentucky,-0.693,-0.714,-0.414,-0.680,-0.729,-0.915,-0.862,-0.783,-0.478,-0.631,-0.521,-0.799,-0.610,-0.638,-0.774,-0.589,-0.547,-0.504,-0.795,-0.454,-0.563,-0.652,-0.607,-0.686,-0.574,-0.800,-0.503,-0.438,-0.803,-0.710,-0.755,-0.735,-0.375,-0.534,-0.801,-0.604,-0.728,-0.894,-0.796,-0.863,-0.501,-0.683,-0.507,-0.686,-0.598,-0.668,-0.479,-0.593,-0.554,-0.585,-0.514,-0.501,-0.644,-0.659,-0.782,-0.741,-0.929,-0.735,-0.777,-0.475,-0.845,-0.746,-0.568,-0.629,-0.429,-0.574,-0.404,-0.682,-0.705,-0.857,-0.579,-0.579,-0.906,-0.472,-0.291,-0.576,-0.477,-0.216,-0.412,-0.494,-0.817,-0.732,-0.511,-0.515,-0.612,-0.534,-0.545,-0.777,-0.559,-0.679,-0.569,-0.257,-0.525,-0.849,-0.474,-0.733,-0.427,-0.592,-0.620,-0.500
Louisiana,-1.153,-0.470,-1.146,-1.014,-1.261,-1.002,-1.410,-1.489,-0.484,-1.169,-1.387,-1.286,-1.167,-0.942,-0.644,-0.772,-1.255,-1.403,-1.578,-0.355,-1.056,-1.277,-0.703,-1.291,-1.170,-0.724,-1.061,-0.981,-1.221,-1.184,-0.896,-1.463,-1.214,-1.330,-1.290,-1.356,-1.315,-1.298,-1.230,-1.166,-0.648,-1.375,-0.700,-1.082,-1.408,-0.889,-0.602,-0.519,-1.179,-1.290,-1.012,-0.870,-1.348,-1.340,-1.195,-1.199,-1.528,-0.572,-1.139,-0.920,-1.236,-1.191,-1.015,-1.354,-0.589,-1.558,-1.275,-1.161,-1.042,-1.686,-1.464,-1.255,-1.033,-1.181,-0.878,-0.425,-0.551,-1.203,-0.843,-1.124,-1.399,-1.221,-1.054,-1.421,-0.402,-1.046,-1.366,-1.371,-0.777,-1.276,-1.247,-0.596,-1.208,-1.400,-1.066,-1.341,-1.238,-0.600,-0.509,-0.807
Maine,-0.812,-1.039,-1.159,-0.932,-0.575,-0.754,-0.829,-1.066,-1.098,-0.548,-0.755,-0.697,-0.599,-0.391,-0.797,-0.946,-1.157,-0.851,-0.695,-1.233,-1.021,-0.955,-0.439,-0.906,-0.769,-0.818,-0.570,-0.981,-1.146,-1.178,-0.678,-0.629,-0.771,-0.669,-0.983,-1.065,-0.582,-0.898,-0.939,-1.015,-0.551,-0.512,0.137,-0.437,-0.782,-1.030,-0.455,-0.295,-1.200,-0.444,-0.444,-0.870,-0.754,-0.576,-0.876,-0.851,-0.511,-0.363,-0.325,-0.645,-1.197,-0.700,-0.622,-0.844,-0.269,-0.919,-0.598,-0.843,-0.639,-1.116,-0.841,-0.516,-0.336,-0.950,-1.363,-0.481,-0.489,-0.700,-0.385,-0.579,-0.779,-0.720,-0.730,-0.892,-1.001,-1.008,-0.865,-0.867,-1.287,-0.927,-0.717,-1.042,-0.748,-0.851,-0.888,-0.765,-0.718,-0.793,-0.644,-0.609
Maryland,2.492,2.206,2.243,2.314,1.667,1.862,2.414,2.203,2.680,2.374,2.611,3.008,1.926,1.623,1.875,2.181,2.099,1.970,2.092,1.630,3.399,2.843,2.101,1.964,2.273,1.647,2.978,1.279,2.278,2.404,2.346,2.180,2.171,2.042,2.636,1.525,1.969,2.380,3.494,3.373,2.101,1.808,1.433,1.248,2.895,3.000,1.166,1.641,1.823,1.831,1.273,1.824,2.533,2.260,2.681,2.379,1.967,1.833,1.337,1.910,2.308,2.191,1.897,2.499,1.871,2.362,2.307,2.704,2.024,1.898,1.986,1.743,2.418,1.402,2.663,1.563,2.157,1.966,2.549,1.626,2.326,2.436,1.656,1.998,2.013,2.919,1.725,2.267,2.097,2.493,1.444,3.072,2.113,2.753,2.019,2.473,1.537,2.728,1.385,0.990
Massachusetts,2.217,2.105,2.707,2.633,2.797,2.019,2.706,2.186,2.450,2.274,1.995,2.771,1.286,2.300,1.780,1.632,1.815,2.170,1.820,2.308,1.820,2.724,2.080,2.004,2.688,2.133,2.262,2.690,2.322,2.697,2.518,2.127,1.764,2.031,1.353,1.791,2.526,2.536,2.009,1.230,2.195,1.976,1.690,2.551,1.589,0.939,2.246,2.556,1.994,2.076,2.823,3.238,1.906,3.029,2.077,2.619,2.048,2.675,3.684,1.929,1.949,2.177,1.857,2.008,1.622,1.730,2.032,2.199,2.130,2.069,2.063,1.963,2.532,1.682,0.849,2.289,1.373,1.873,2.220,1.972,2.220,1.746,1.867,1.518,2.042,1.405,1.752,2.464,1.619,2.153,1.708,1.876,1.847,1.133,1.434,1.846,2.146,1.198,2.220,2.273
Michigan,-0.050,-0.226,-0.379,-0.149,-0.203,-0.330,-0.199,-0.144,0.073,-0.010,-0.072,-0.348,0.025,-0.459,0.108,-0.073,0.069,-0.066,0.079,0.251,-0.017,-0.065,0.143,0.488,-0.105,0.152,-0.113,0.004,-0.161,0.117,-0.165,0.027,-0.046,0.056,0.191,-0.207,-0.146,-0.108,-0.287,-0.019,-0.143,0.041,-0.142,-0.082,0.021,-0.160,-0.125,0.166,0.225,0.001,-0.261,-0.086,0.003,-0.079,-0.329,-0.003,-0.026,-0.003,-0.069,0.182,-0.017,-0.029,0.194,-0.175,0.764,-0.003,-0.138,0.156,-0.131,0.059,-0.064,0.237,-0.200,-0.152,0.069,-0.065,-0.189,-0.153,0.200,0.099,-0.382,-0.156,0.059,0.059,0.229,-0.076,0.278,0.005,0.091,-0.379,0.188,-0.277,0.064,-0.271,0.190,-0.303,0.048,0.003,0.118,0.080
Minnesota,0.345,1.099,0.703,0.309,0.930,0.886,0.905,1.158,-0.125,1.164,0.981,0.883,1.606,0.251,0.452,0.980,1.277,1.341,1.137,0.491,0.921,0.956,0.211,1.063,1.171,0.768,0.790,0.525,0.759,0.988,0.935,0.962,0.930,0.995,1.100,1.566,1.163,0.854,-0.034,0.304,0.226,1.423,1.302,0.972,0.933,0.813,1.161,0.307,1.032,1.398,1.032,-0.093,0.721,1.056,1.076,0.610,1.466,0.111,0.589,0.792,1.060,1.043,0.830,0.889,0.169,1.268,1.082,0.600,0.685,1.147,1.277,1.256,0.806,1.546,0.599,0.433,0.365,1.224,0.401,1.445,1.451,1.361,1.048,1.633,0.282,0.633,1.496,1.337,0.582,1.319,1.055,0.032,1.131,1.657,0.769,0.899,1.242,0.678,0.480,0.615
Mississippi,-1.380,-1.329,-1.188,-1.191,-1.202,-1.165,-1.555,-1.320,-0.555,-1.172,-1.222,-1.246,-1.145,-1.037,-0.724,-0.937,-1.287,-1.165,-1.401,-1.233,-0.922,-1.097,-0.832,-0.811,-1.013,-0.904,-1.065,-0.981,-1.560,-1.171,-1.061,-1.322,-1.213,-1.146,-1.308,-1.223,-1.110,-1.271,-1.042,-1.259,-0.844,-1.471,-1.433,-1.093,-1.215,-0.876,-1.366,-1.103,-1.051,-1.174,-1.160,-0.870,-1.107,-1.265,-1.329,-0.937,-1.429,-1.014,-1.253,-1.061,-1.297,-0.896,-1.022,-1.237,-1.405,-1.407,-1.091,-1.172,-1.261,-1.498,-1.200,-1.562,-1.109,-1.136,-1.363,-0.766,-0.770,-1.082,-0.510,-0.994,-1.139,-1.082,-0.262,-1.092,-0.934,-0.805,-1.543,-1.279,-1.149,-1.448,-0.983,-1.042,-0.949,-1.342,-0.853,-1.083,-1.039,-0.702,-0.900,-0.953
Missouri,-0.183,0.040,-0.114,-0.142,-0.211,0.063,0.011,0.145,-0.096,-0.142,0.204,0.142,0.117,-0.328,-0.096,-0.002,-0.032,0.332,0.372,-0.146,-0.039,0.268,-0.253,0.364,0.330,0.057,0.433,-0.163,0.295,0.169,-0.000,0.485,0.001,0.345,-0.056,0.460,0.382,0.238,-0.210,-0.089,-0.137,0.607,0.073,0.337,0.182,-0.035,-0.146,-0.170,0.009,0.615,0.002,-0.174,0.671,0.515,-0.183,-0.072,0.598,-0.309,0.268,0.544,0.369,0.485,0.541,0.692,-0.316,0.628,0.182,-0.165,-0.082,0.265,0.742,-0.046,-0.196,0.415,0.030,-0.250,-0.083,0.145,-0.034,0.483,0.497,0.271,0.368,0.426,-0.198,0.169,0.257,0.579,0.231,-0.096,0.284,-0.344,0.684,0.008,0.338,0.249,0.414,-0.090,0.036,-0.114
Montana,-1.079,-1.588,-0.932,-1.036,-1.094,-1.236,-0.875,-1.304,-1.098,-1.801,-0.997,-1.188,-0.810,-0.829,-1.242,-1.411,-1.356,-1.184,-0.993,-1.233,-1.245,-1.009,-0.920,-1.184,-1.024,-0.833,-1.557,-0.981,-1.333,-1.043,-1.051,-0.988,-1.365,-1.152,-1.338,-0.906,-1.300,-1.036,-0.912,-1.282,-1.062,-1.206,-1.433,-1.550,-0.976,-1.433,-1.366,-1.103,-1.294,-0.951,-0.862,-0.870,-1.257,-0.962,-1.106,-1.048,-0.928,-0.922,-1.078,-1.219,-1.172,-1.155,-1.253,-1.077,-1.405,-1.145,-1.749,-1.070,-1.059,-1.358,-1.244,-1.147,-0.758,-0.744,-1.363,-0.804,-1.841,-1.551,-1.507,-1.659,-0.485,-0.890,-0.947,-1.105,-1.068,-1.279,-1.217,-1.116,-1.527,-1.587,-1.116,-1.042,-1.719,-1.147,-1.520,-0.855,-1.595,-1.237,-1.482,-1.560
