@relation a9-clustering-weka.filters.unsupervised.attribute.Normalize-S100.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S50.0-T0.0

@attribute A1 numeric
@attribute A2 numeric

@data
20.537097,15.6
13.922484,11.8
11.912488,13.8
10.786559,15.6
11.858674,14.6
11.669772,17.8
13.69272,15.4
8.284355,21.5
7.479754,19.6
5.623671,15.3
10.757092,19.4
7.065758,17
17.713916,15.6
12.250533,13.1
6.110608,41.3
6.70929,24.3
7.121831,23.3
6.361004,27
7.314296,50
9.173743,50
7.593708,50
11.224852,22.7
14.646664,25
10.059366,50
9.005624,23.8
11.516211,23.8
12.26484,22.3
6.029485,17.4
11.583981,19.1
0.666752,23.1
0.429007,23.6
0.392311,22.6
0.302805,29.4
0.320776,23.2
0.240607,24.6
0.3017,29.9
0.258428,37.2
0.298989,39.8
0.314049,36.2
0.425242,37.9
0.470672,32.5
0.385333,26.4
0.271831,29.6
0.249492,50
0.363596,32
0.599736,29.8
0.388445,34.9
0.423485,37
0.315204,30.5
0.403204,36.4
0.078061,31.1
0.040511,29.1
0.0376,50
0.169625,33.3
0.202506,30.3
0.157426,34.6
0.126403,34.9
0.057529,32.9
0.141212,24.1
0.077559,42.3
0.144475,48.5
0.069125,50
0.653098,22.6
1.121311,24.4
1.233256,22.5
0.650337,24.4
2.155525,20
0.844058,21.7
1.854678,19.3
1.058561,22.4
0.67368,28.1
1.421806,23.7
0.962328,25
0.197184,23.3
0.320324,28.7
0.523934,21.5
0.541805,23
1.765875,26.7
2.014966,21.7
3.098526,27.5
3.054049,30.1
1.551221,44.8
2.613446,50
1.886605,37.6
2.038409,31.6
1.465178,46.7
2.185996,31.5
2.663997,24.3
2.292319,31.7
2.856212,41.7
1.632243,48.3
2.216768,29
1.627123,24
2.581569,25.1
2.537645,31.5
0.38212,23.7
0.432721,23.3
0.536986,22
0.500993,20.1
0.484829,22.2
0.608671,23.7
1.002789,17.6
0.928745,18.5
1.67421,24.3
0.955049,20.5
0.793507,24.5
0.925733,26.2
0.672576,24.4
1.042999,24.8
0.380965,29.6
1.820341,42.8
0.210186,21.9
0.146382,20.9
0.045481,44
3.038186,50
3.299074,36
3.264637,30.1
2.679609,33.8
2.64954,43.1
2.579361,48.8
4.111054,31
2.729608,36.5
3.791583,22.8
3.912464,30.7
2.871523,50
2.681567,43.5
0.423334,20.7
1.470048,21.1
0.782061,25.2
0.543562,24.4
1.082105,35.2
0.251601,32.4
0.450392,32
0.493814,33.2
0.275847,33.1
0.368767,29.1
1.024375,35.1
0.147888,45.4
0.154264,35.4
0.275948,46
0.043624,50
0.013755,32.2
0.023293,22
0.066916,20.1
0.162597,23.2
0.19869,22.3
0.183982,24.8
0.144073,28.5
0.364149,37.3
0.149746,27.9
0.383174,23.9
0.379861,21.7
0.617456,28.6
0.237947,27.1
0.67624,20.3
0.292865,22.5
0.247434,29
0.190006,24.8
0.14583,22
0.433424,26.4
0.470271,33.1
0.245125,36.1
0.243318,28.4
0.344922,33.4
0.215859,28.2
2.443018,22.8
1.722251,20.3
13.198303,16.1
3.936108,22.1
1.28195,19.4
1.320553,21.6
1.821647,23.8
1.241137,16.2
1.565979,17.8
1.199271,19.8
1.986402,23.1
2.355119,21
0.809621,23.8
0.87985,23.1
1.730986,20.4
1.393544,18.5
1.680535,25
0.931405,24.6
1.491684,23
1.178237,22.2
0.300445,19.3
0.305817,22.6
0.196381,19.8
0.220427,17.1
0.142266,19.4
0.223439,22.2
0.15592,20.7
0.167115,21.1
0.140308,19.5
0.120931,18.5
0.134234,20.6
0.244222,19
0.277052,18.7
0.033584,32.7
0.093673,16.5
0.095932,23.9
0.121333,31.2
0.124545,17.5
0.277604,17.2
0.062147,23.1
0.043624,24.5
0.113803,26.6
0.280064,22.9
0.367361,24.1
0.33192,18.6
0.054065,30.1
0.184183,18.2
0.503352,20.6
45.062458,17.8
19.29365,21.7
26.081,22.7
21.35992,22.6
22.768573,25
19.229093,19.9
18.432826,20.8
21.164543,16.8
17.409053,21.9
22.838602,27.5
18.52685,21.9
24.557188,50
28.4314,50
32.792649,50
46.314138,50
41.469616,50
49.281893,13.3
46.086833,11.3
40.090279,12.3
40.889759,11.5
34.918054,15.1
26.539223,23.2
43.364705,13.8
43.726092,13.1
29.445785,12.5
38.48158,8.5
49.749052,6.3
48.138445,12.1
37.135575,17.2
35.221461,14.2
35.361167,13.4
44.104447,11.7
36.950941,11
46.849216,9.5
42.598507,14.5
32.317208,16.1
27.985075,14.3
47.108949,12.8
48.78336,17.1
28.413278,18.4
50,15.4
31.534193,14.9
49.790717,12.6
46.80002,14.1
37.748614,13
33.691023,13.4
27.28263,15.2
25.520772,16.1
41.373434,17.8
47.726406,14.9
23.825026,14.1
23.405658,12.7
41.134935,13.5
38.884231,14.9
34.109939,20
24.125019,16.4
18.507573,17.7
33.375769,19.5
29.190269,20.2
39.321421,21.4
15.849449,19.9
18.918558,19
22.167984,19.1
21.799067,19.9
20.240969,19.6
17.882938,23.2
23.29552,29.8
40.408093,13.8
32.061541,13.3
24.422603,16.7
29.204626,23
28.623163,23.7
28.738522,25
14.116455,21.8
11.908623,20.6
18.409985,21.2
28.540685,19.1
24.243189,20.6
0.725586,15.2
0.888786,7
1.009717,8.1
0.499085,13.6
0.527097,20.1
0.838285,21.8
1.371707,24.5
0.866798,23.1
1.422057,19.7
1.315533,18.3
1.168649,21.2
0.860975,17.5
1.094655,16.8
0.282674,22.4
0.195528,20.6
0.273287,23.9
0.518412,22
0.206271,11.9
