@relation a2-p1

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A6 numeric
@attribute A7 numeric

@data
4295.96,10.25,15.9,73.01,2.72,3,0
2268.33,9.08,12.52,72.27,2.55,3,0
10860.55,10.23,12.6,68.06,2.43,3,0
6939.42,13.49,17.69,68,2.46,2,0
2631.37,8.22,12.38,81.41,2.87,3,0
4416.49,5.68,7.85,81.5,2.35,3,0
5857.78,11.42,16.97,57.84,2.66,3,8.13
14206.91,16.19,17.29,49.93,2.22,2,10.55
3682.23,10.07,11.43,66.39,2.33,2,0
3980.07,10.45,13.2,60.66,2.87,3,0
4193.25,7.79,13.95,80.06,2.29,2,0
6219.62,10.46,15.23,66.26,2.71,2,3.58
10404.66,10.06,13.03,65.22,2.23,3,0
7902.86,12.55,16.95,48.52,2.64,2,27.35
2739.59,11.18,12.13,68.99,2.65,2,0
4482.6,7.68,11.51,79.64,2.83,3,0
4083.91,3.91,7.67,87.29,4.13,3,0
6658.21,9.53,15.32,58.13,2.97,2,0
7721.87,10.38,16.14,72.23,2.2,3,0
4627.88,12.17,15.68,60.35,2.45,2,0
4747.58,7.29,9.94,79.7,2.77,2,0
696.61,4.59,6.68,87.61,3.02,3,0
3935.3,3.71,5.37,81.99,3.48,2,0
4561.76,9.85,14.91,61.84,2.96,3,0
3021.12,12.9,13.2,63.29,2.4,3,0
7762.64,9.04,12.51,58.43,2.85,2,10.73
5743.65,9.34,14.99,77.02,2.47,3,0
4759.27,7.47,10.85,72.91,2.35,2,0
7475.25,13.04,16.69,56.99,2.56,3,9.09
6072.7,10.82,13.01,78.69,2.63,3,0
5011.24,9.79,16.19,47.16,3.87,2,9.52
1069.52,4.29,7.36,90.33,3.18,3,0
1044.06,4.13,4.87,89.98,2.88,3,0
3689.74,2.82,4.97,77.47,2.86,2,0
3471.38,12.35,13.4,58.27,2.41,2,0
4781.77,10.89,15.94,70.47,2.54,2,0
4533.01,9.49,12.37,62.07,2.54,3,0
2289.04,6.02,8.93,85.72,3.22,3,0
3623.5,6.04,7.53,85.78,3.45,3,0
3807.28,7.68,10.02,81.61,2.74,3,0
2959.81,10.49,12.49,73.88,2.46,3,0
2796.82,5.47,7.74,88.22,2.93,3,0
6834.91,13.2,15.84,67.14,2.31,2,0
6982.13,9.46,14.62,55.88,2.86,3,0
8241.94,13.01,16.99,57.54,2.43,3,0
3016.22,11.45,16.4,68.36,2.6,3,0
2717.09,5.92,9.78,76.19,2.29,3,0
4152.3,7.71,12.53,81.55,2.61,2,0
3634.11,5.52,8.07,88.59,3.09,3,0
8497.95,13.3,18.5,49.56,2.68,2,16.2
2641.81,3.6,5.2,92.58,3.17,4,0
5381.64,9.61,13.81,50.89,2.98,2,0
2482.22,11.24,13.14,77.88,3.09,3,0
7709.63,13.48,15.15,67.64,2.71,2,0
4840.17,12.16,17.73,66.99,2.27,2,0
6613.16,9.7,14.48,55,2.61,3,0
16092.17,15.93,17.03,55.67,2.04,1,5.75
2085.03,7.51,11.24,78.17,3.13,3,0
5655.94,8.85,12.98,69,2.77,2,4.64
9154.85,11.09,13.67,53.22,2.32,2,0
4261.17,6.67,11.93,66.2,3.9,2,0
1317.85,4.78,7.62,85.02,3.17,3,0
8839.53,13.91,18.96,56.36,2.9,2,0
2195.73,5.42,7.83,86.49,2.95,3,0
2942.65,6.64,10.44,86.49,2.78,3,0
3115.14,8.29,11.98,78.09,2.65,3,0
2195.73,5.42,7.83,86.49,2.95,3,0
7289.2,13.46,16.26,39.24,2.89,3,5.59
4630.73,9.43,12.67,59.7,2.52,3,5.8
3533.11,9.7,13.09,74.31,2.51,3,0
5660.33,8.98,12.13,65.16,2.59,2,0
3451.37,9.08,13.25,70.37,2.91,3,0
1328.27,7.66,8.32,86.43,2.9,3,0
2659.71,6.05,9.14,82.93,3.06,3,3.45
4497.01,10.62,13.99,68.83,2.56,3,0
4561.38,12.96,17.35,59.35,2.52,2,0
2813.69,7.59,10.38,78.72,2.84,3,0
4293.5,12.57,16.82,71.22,2.48,2,0
2158.42,5.7,8.27,84.43,2.98,3,0
6544.31,12.78,17.3,65.86,2.47,2,4.56
4148.02,8.65,12.58,65.66,3.49,3,0
3139.02,7.09,10.58,75.14,3.06,3,0
5799.2,8.18,14.12,76.55,2.98,3,0
7249.09,14.07,17.36,63.71,2.48,2,0
2659.8,7.52,10.63,78.25,2.75,3,0
1738.62,7.69,10.44,80.63,2.74,3,0
6595.13,11.64,15.94,60.26,2.55,2,4.2
4659.2,5.08,8.07,84.16,2.86,3,0
2094.09,5.77,8.77,83.65,2.84,3,0
10379.78,11.72,14.97,42.18,2.89,3,0
2184.17,10.27,13.06,76.25,2.74,3,0
4729.9,8.29,12.61,79.11,2.99,3,0
4230.91,10.56,13.3,71.65,2.68,3,0
7817.87,15.65,18.76,62.62,2.5,2,8.05
5957.57,10.92,13.71,63.3,2.36,2,11.88
2316.86,7.38,11.62,80.46,2.55,3,0
4888.35,11.77,14.87,70.61,2.53,3,0
6167.51,10.1,14.76,78.85,2.69,3,0
1737.61,4.48,6.54,88.97,3.16,3,0
5340.87,10.35,14.36,63.45,2.93,2,0
9215.24,11.63,15,67.52,2.51,2,0
2023.89,8.4,11.51,80.68,2.85,3,0
2903.31,8.5,11.14,77.27,2.58,2,0
4103.43,2.13,3.35,85.57,3.77,3,0
8078.23,10.16,13.35,65.35,2.65,3,4.23
6641.13,11.24,15.96,70.49,2.81,3,7.37
3446.55,8.16,12.44,80.8,3.02,3,0
6086.67,11.16,14.39,68.81,2.9,2,0
1843.18,5.59,8.48,83.8,2.77,3,0
1675.9,6.94,9.69,77.5,2.45,2,0
2225.17,5.17,6.29,88.88,3.01,3,0
2670.45,5.55,10.44,65.51,4.48,1,0
3298.75,6.89,11.08,81.59,2.89,3,0
11977.58,10.57,14.41,62.59,3.12,3,0
3570.27,10.31,14.54,77.12,2.74,3,0
12667.04,16.33,18.45,42.46,2.43,2,11.03
2386.9,10,13.35,82.17,2.75,3,0
4730.9,6.66,10.5,77.26,2.45,2,0
6915.98,14.85,18.23,58.02,2.36,2,3.95
3520.65,7.85,13.56,81.17,2.79,3,0
9811.74,11.68,14.82,45.93,3.31,2,1.86
4374.02,7.25,9.82,75.43,2.61,3,5
5885.84,7.95,12.98,67.5,2.73,2,0
4246.34,8.68,13.33,74.78,2.63,2,5.88
4872.89,12.68,15.86,63.36,2.47,2,3.29
5849.84,10.62,14.77,67.48,2.38,3,0
2599.75,8.84,11.36,78.21,2.65,3,0
6461.68,12.29,15.85,66.6,2.43,3,0
1579.65,5.96,8.03,85.76,2.89,3,0
1579.65,5.96,8.03,85.76,2.89,3,0
2822,7.56,9.94,83.81,2.85,3,0
2802.19,9.18,13.47,69.58,3.11,3,0
2911.52,6.26,9.86,58.4,2.41,3,0
2893.5,7.86,9.93,82.53,2.81,3,0
2999.82,7.64,10.71,77.41,2.97,3,0
1702.05,11.18,14.44,51.02,2.42,2,0
2590.9,3.46,5.02,76.55,2.64,2,0
11977.58,10.57,14.41,62.59,3.12,3,0
5154.47,9.2,12.96,73.62,2.8,3,0
3772.72,10.68,14.6,70.81,2.61,2,0
4519.97,6.58,10.47,82.01,3.02,3,0
2612.65,6.47,8.19,83.1,2.85,3,0
1153,6.86,7.89,83.34,3.11,3,0
